================================== 
=== Warnings About Source Data === 
================================== 
      Product 2376 refers to product 3038 for which there is no definition in the source data.
      Product 3297 refers to product 3355 for which there is no definition in the source data.

================================== 
=== Product Component Tree     === 
================================== 
Product 1000 Rolled Up Cost: 0.0
Product 1001 Rolled Up Cost: 395.8381
Product 1002 Rolled Up Cost: 350.0861
Product 1003 Rolled Up Cost: 22.876
Product 1004 Rolled Up Cost: 0.0
Product 1005 Rolled Up Cost: 0.0
Product 1006 Rolled Up Cost: 0.0
Product 1009 Rolled Up Cost: 2.9842
Product 1010 Rolled Up Cost: 0.0
Product 1011 Rolled Up Cost: 0.0
Product 1012 Rolled Up Cost: 0.0
Product 1013 Rolled Up Cost: 0.0
Product 1014 Rolled Up Cost: 0.0
Product 1015 Rolled Up Cost: 0.0
Product 1016 Rolled Up Cost: 0.0
Product 1017 Rolled Up Cost: 0.0
Product 1018 Rolled Up Cost: 0.0
Product 1019 Rolled Up Cost: 0.0
Product 1020 Rolled Up Cost: 0.0
Product 1021 Rolled Up Cost: 0.0
Product 1022 Rolled Up Cost: 17.3405
Product 1023 Rolled Up Cost: 20.7957
Product 1024 Rolled Up Cost: 25.9947
Product 1025 Rolled Up Cost: 29.4606
Product 1026 Rolled Up Cost: 34.6562
Product 1027 Rolled Up Cost: 36.8205
Product 1028 Rolled Up Cost: 38.5962
Product 1029 Rolled Up Cost: 33.7075
Product 1030 Rolled Up Cost: 0.0
Product 1031 Rolled Up Cost: 0.0
Product 1032 Rolled Up Cost: 0.0
Product 1033 Rolled Up Cost: 12.9348
Product 1034 Rolled Up Cost: 11.0556
Product 1035 Rolled Up Cost: 0.0
Product 1036 Rolled Up Cost: 3079.5798
Product 1037 Rolled Up Cost: 605.4712
Product 1038 Rolled Up Cost: 6372.63
Product 1039 Rolled Up Cost: 0.0
Product 1184 Rolled Up Cost: 5.32
Product 1185 Rolled Up Cost: 0.9202
Product 1186 Rolled Up Cost: 0.9431
Product 1187 Rolled Up Cost: 26.6036
Product 1188 Rolled Up Cost: 38.7595
Product 1189 Rolled Up Cost: 0.0
Product 1190 Rolled Up Cost: 1.698
Product 1191 Rolled Up Cost: 1.676
Product 1192 Rolled Up Cost: 0.4478
Product 1193 Rolled Up Cost: 1.599
Product 1194 Rolled Up Cost: 1.588
Product 1195 Rolled Up Cost: 0.0
Product 1196 Rolled Up Cost: 41.765
Product 1197 Rolled Up Cost: 59.095
Product 1198 Rolled Up Cost: 72.525
Product 1199 Rolled Up Cost: 37.79
Product 1200 Rolled Up Cost: 48.54
Product 1201 Rolled Up Cost: 90.62
