Item No.,Description,Current Unit Cost (LCY),Item Replenishment System,Base Unit of Measure,Production BOM No.,Status,Type,No.,Description1,Quantity per,BOM Unit of Measure Code,Line Item Replenishment System,BOM Unit Cost (LCY)
1000,STEEL HOOK - ANODE BOLIDEN KOKKOLA 5606,0.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1001,ANODE NEW KOKKOLA TO DRAWING NO. 5606,0.00,Prod. Order,EA,1001,Under Development,Item,1003,CAST BAR KOKKOLA 5606,1.,EA,Prod. Order,0.00
1001,ANODE NEW KOKKOLA TO DRAWING NO. 5606,0.00,Prod. Order,EA,1001,Under Development,Item,1002,BLADE KOKKOLA 5606,1.,EA,Prod. Order,0.00
1001,ANODE NEW KOKKOLA TO DRAWING NO. 5606,0.00,Prod. Order,EA,1001,Under Development,Item,1003,CAST BAR KOKKOLA 5606,1.,EA,Prod. Order,0.00
1002,BLADE KOKKOLA 5606,0.00,Prod. Order,EA,1002,Under Development,Item,1299,LEAD CHEMB 0.7%AG,69.9,KG,Prod. Order,6.42
1002,BLADE KOKKOLA 5606,0.00,Prod. Order,EA,1002,Under Development,Item,1005,0.7% AG,69.9,KG,Purchase,1.72
1003,CAST BAR KOKKOLA 5606,0.00,Prod. Order,EA,1003,Under Development,Item,1000,STEEL HOOK - ANODE BOLIDEN KOKKOLA 5606,2.,EA,Purchase,0.00
1003,CAST BAR KOKKOLA 5606,0.00,Prod. Order,EA,1003,Under Development,Item,1006,CU 60x18x1030 BOLIDEN KOKKOLA 5606,1.,EA,Purchase,0.00
1003,CAST BAR KOKKOLA 5606,0.00,Prod. Order,EA,1003,Under Development,Item,1005,LCHEMB,13.3,KG,Purchase,1.72
1003,CAST BAR KOKKOLA 5606,0.00,Prod. Order,EA,1003,Under Development,Item,1000,STEEL HOOK - ANODE BOLIDEN KOKKOLA 5606,2.,EA,Purchase,0.00
1004,WOODEN EXPORT PALLET - BOLIDEN ANODES 5606,0.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1005,LEAD CHEMB,1.72,Purchase,KG,,New, ,,,0.,,Purchase,0.00
1006,CU 60x18x1030 BOLIDEN KOKKOLA 5606,0.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1009,101033122-1-R01 RADIATION COVER,6.50,Prod. Order,EA,1009,Under Development,Item,1005,LEAD CHEMB,1.735,KG,Purchase,1.72
1010,BSEN SHEET CODE 3 (1.32MM) 2000MM X 600MM,36.07,Purchase,EA,1010,Certified,Item,2083,BSEN BLOCK,17.96,KG,Purchase,0.00
1011,BSEN SHEET CODE 5 (2.24MM) 1430MM X 590MM,38.18,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1012,BSEN SHEET CODE 5 (2.24MM) 1830MM X 590MM,49.09,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1013,BSEN SHEET CODE 5 (2.24MM) 1990MM X 590MM,57.27,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1014,BSEN SHEET CODE 5 (2.24MM) 2000MM X 600MM,37.85,Purchase,EA,1014,Certified, ,,,0.,,Purchase,0.00
1015,BSEN SHEET CODE 5 (2.24MM) 2390MM X 590MM,68.55,Purchase,EA,1015,Certified,Item,2083,BSEN BLOCK,36.,KG,Purchase,0.00
1016,BSEN SHEET CODE 5 (2.24MM) 6000MM X 150MM,42.25,Purchase,EA,1016,Certified,Item,2083,BSEN BLOCK,22.86,KG,Purchase,0.00
1017,BSEN SHEET CODE 5 (2.24MM) 6000MM X 1600MM,463.78,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1018,BSEN SHEET CODE 7 (3.15MM) 2000MM X 600MM,81.08,Purchase,EA,1018,Certified,Item,2083,BSEN BLOCK,42.86,KG,Purchase,0.00
1019,BSEN SHEET CODE 8 (3.55MM) 1990MM X 590MM,86.19,Purchase,EA,,New, ,,,0.,,Purchase,0.00
